Canonical SMILES,Health,Fire,Reactivity,W,OX
COCCOC(=O)C1=CC=CC=C1C(=O)OCCOC,0,1,0,0,0
CN1CCCC1=O,1,1,0,0,0
CCOC(=O)CBr,0,1,0,0,0
CCCCCOC(=O)C,1,1,0,0,0
CC1=CC=C(C=C1)C(C)C,1,1,0,0,0
CCCCCCCCCCOC(=O)C=C,1,1,0,0,0
CCCCCCCCCCCC,1,1,0,0,0
CCC1=CN=C(C=C1)C,1,1,0,0,0
C1=CC=C(C=C1)CC2=CC=CC=C2,1,1,0,0,0
CCCCC(CC)C=O,1,1,1,0,0
CCCCCCCC=O,0,1,0,0,0
CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(N3CCCCC3)O)N=[N+]=[N-],0,1,0,0,0
CCCN,1,1,0,0,0
